RXangle,TXangle,RSSI_avg,RSSI_max,Num_of_Samples
53,1,-75.031,0.0,4005092
54,1,-73.8525,0.0,4004728
55,1,-74.9224,0.0,4005456
56,1,-75.2144,0.0,4005092
57,1,-75.3046,0.0,4005092
58,1,-75.191,0.0,4005092
59,1,-74.795,0.0,4005092
60,1,-75.2649,0.0,4004728
61,1,-75.298,0.0,4001816
62,1,-75.1134,0.0,4005092
63,1,-73.7193,0.0,4003636
64,1,-72.412,0.0,4005092
65,1,-71.6729,0.0,4003272
66,1,-73.4242,0.0,4005820
67,1,-71.5507,0.0,4004000
68,1,-72.2085,0.0,4005092
69,1,-74.2416,0.0,4004000
70,1,-74.9588,0.0,4005092
71,1,-74.8028,0.0,4004728
72,1,-74.9893,0.0,4005092
73,1,-74.7367,0.0,4003636
74,1,-75.1052,0.0,4005456
75,1,-75.0084,0.0,4004364
76,1,-74.3064,0.0,4005092
77,1,-75.2949,0.0,4005092
78,1,-75.2632,0.0,4005092
79,1,-73.9697,0.0,4004728
80,1,-71.7402,0.0,4005092
81,1,-70.4237,0.0,4005092
82,1,-63.1963,0.0,4005456
83,1,-61.3772,0.0,4004728
84,1,-63.9521,0.0,4005092
85,1,-67.7672,0.0,4004728
86,1,-59.745,0.0,4006184
87,1,-58.292,0.0,4005456
88,1,-63.6178,0.0,4009824
89,1,-61.1834,0.0,4005092
90,1,-58.2648,0.0,4006548
91,1,-60.5356,0.0,4004728
92,1,-69.3068,0.0,4005092
93,1,-68.8803,0.0,4004728
94,1,-72.009,0.0,4001816
95,1,-72.9043,0.0,4004728
96,1,-74.5801,0.0,4004364
97,1,-74.0552,0.0,4005092
98,1,-73.1892,0.0,4003636
99,1,-75.1585,0.0,4005092
100,1,-75.0616,0.0,4005092
0,2,-73.9507,0.0,4005092
1,2,-74.8563,0.0,4005092
2,2,-75.2913,0.0,4005456
3,2,-75.1724,0.0,4005456
4,2,-74.9768,0.0,4005456
5,2,-74.9685,0.0,4005092
6,2,-74.6674,0.0,4005092
7,2,-74.2052,0.0,4005092
8,2,-73.9704,0.0,4005092
9,2,-75.011,0.0,4005092
10,2,-74.322,0.0,4005456
11,2,-75.0161,0.0,4004728
