Timestamp,SNR,PER,BER,Valid,RXangle,TXangle
1452077731.282492,0.0,0.0,0.0,False,0,0
1452077732.884652,0.0,0.0,0.0,False,1,0
1452077734.486474,0.0,0.0,0.0,False,2,0
1452077736.088582,0.0,0.0,0.0,False,3,0
1452077737.690475,0.0,0.0,0.0,False,4,0
1452077739.292773,0.0,0.0,0.0,False,5,0
1452077740.89448,0.0,0.0,0.0,False,6,0
1452077742.496761,0.0,0.0,0.0,False,7,0
1452077744.098907,0.0,0.0,0.0,False,8,0
1452077745.701171,0.0,0.0,0.0,False,9,0
1452077747.303325,0.0,0.0,0.0,False,10,0
1452077748.905419,0.0,0.0,0.0,False,11,0
1452077750.507567,0.0,0.0,0.0,False,12,0
1452077752.109695,0.0,0.0,0.0,False,13,0
1452077753.711838,0.0,0.0,0.0,False,14,0
1452077755.313997,0.0,0.0,0.0,False,15,0
1452077756.916107,0.0,0.0,0.0,False,16,0
1452077758.518258,0.0,0.0,0.0,False,17,0
1452077760.120416,0.0,0.0,0.0,False,18,0
1452077761.722596,0.0,0.0,0.0,False,19,0
1452077763.324805,0.0,0.0,0.0,False,20,0
1452077764.926943,0.0,0.0,0.0,False,21,0
1452077766.529047,0.0,0.0,0.0,False,22,0
1452077768.131306,0.0,0.0,0.0,False,23,0
1452077769.73341,0.0,0.0,0.0,False,24,0
1452077771.335577,0.0,0.0,0.0,False,25,0
1452077772.937687,0.0,0.0,0.0,False,26,0
1452077774.539846,0.0,0.0,0.0,False,27,0
1452077776.141928,0.0,0.0,0.0,False,28,0
1452077777.744054,0.0,0.0,0.0,False,29,0
1452077779.346163,0.0,0.0,0.0,False,30,0
1452077780.948328,0.0,0.0,0.0,False,31,0
1452077782.550477,0.0,0.0,0.0,False,32,0
1452077784.152596,0.0,0.0,0.0,False,33,0
1452077785.754809,0.0,0.0,0.0,False,34,0
1452077787.357004,0.0,0.0,0.0,False,35,0
1452077788.959296,0.0,0.0,0.0,False,36,0
1452077790.564108,0.0,0.0,0.0,False,37,0
1452077792.166238,0.0,0.0,0.0,False,38,0
1452077793.772236,0.0,0.0,0.0,False,39,0
1452077795.374486,0.0,0.0,0.0,False,40,0
1452077796.976567,21.40970089320115,0.0,0.0,True,41,0
1452077798.578711,22.125289227958856,0.0,0.0,True,42,0
1452077800.180946,22.34944265595097,0.0,0.0,True,43,0
1452077801.782478,22.42005364573478,0.0,0.0,True,44,0
1452077803.384645,22.427425074550417,0.0,0.0,True,45,0
1452077804.986496,22.387160479357103,0.0,0.0,True,46,0
1452077806.588579,22.311684993347246,0.0,0.0,True,47,0
1452077808.190464,21.851725720254905,0.0,0.0,True,48,0
1452077809.792617,21.473280780549285,0.0,0.0,True,49,0
1452077811.394875,0.0,0.0,0.0,False,50,0
1452077812.997234,0.0,0.0,0.0,False,51,0
1452077814.599372,0.0,0.0,0.0,False,52,0
1452077816.201682,0.0,0.0,0.0,False,53,0
1452077817.803968,0.0,0.0,0.0,False,54,0
1452077819.405995,0.0,0.0,0.0,False,55,0
1452077821.008036,0.0,0.0,0.0,False,56,0
1452077822.610201,0.0,0.0,0.0,False,57,0
1452077824.212538,0.0,0.0,0.0,False,58,0
1452077825.814734,0.0,0.0,0.0,False,59,0
1452077827.416825,0.0,0.0,0.0,False,60,0
1452077829.018463,0.0,0.0,0.0,False,61,0
1452077830.620637,0.0,0.0,0.0,False,62,0
1452077832.222474,0.0,0.0,0.0,False,63,0
1452077833.824582,0.0,0.0,0.0,False,64,0
1452077835.426801,0.0,0.0,0.0,False,65,0
1452077837.028933,0.0,0.0,0.0,False,66,0
1452077838.631057,0.0,0.0,0.0,False,67,0
1452077840.233133,0.0,0.0,0.0,False,68,0
1452077841.834487,0.0,0.0,0.0,False,69,0
1452077843.436622,0.0,0.0,0.0,False,70,0
1452077845.038557,0.0,0.0,0.0,False,71,0
1452077846.64059,0.0,0.0,0.0,False,72,0
1452077848.242671,0.0,0.0,0.0,False,73,0
1452077849.844789,0.0,0.0,0.0,False,74,0
1452077851.446816,0.0,0.0,0.0,False,75,0
1452077853.04912,0.0,0.0,0.0,False,76,0
1452077854.650763,0.0,0.0,0.0,False,77,0
1452077856.252994,0.0,0.0,0.0,False,78,0
1452077857.855051,0.0,0.0,0.0,False,79,0
1452077859.457101,0.0,0.0,0.0,False,80,0
1452077861.058726,0.0,0.0,0.0,False,81,0
1452077862.660753,0.0,0.0,0.0,False,82,0
1452077864.26289,0.0,0.0,0.0,False,83,0
1452077865.864981,0.0,0.0,0.0,False,84,0
1452077867.466566,0.0,0.0,0.0,False,85,0
1452077869.068611,0.0,0.0,0.0,False,86,0
1452077870.67052,0.0,0.0,0.0,False,87,0
1452077872.272939,0.0,0.0,0.0,False,88,0
1452077873.874509,0.0,0.0,0.0,False,89,0
1452077875.476787,0.0,0.0,0.0,False,90,0
1452077877.078514,0.0,0.0,0.0,False,91,0
1452077878.680673,0.0,0.0,0.0,False,92,0
1452077880.282727,0.0,0.0,0.0,False,93,0
1452077881.884897,0.0,0.0,0.0,False,94,0
1452077883.486502,0.0,0.0,0.0,False,95,0
1452077885.088698,0.0,0.0,0.0,False,96,0
1452077886.690504,0.0,0.0,0.0,False,97,0
1452077888.292597,0.0,0.0,0.0,False,98,0
1452077889.894642,0.0,0.0,0.0,False,99,0
1452077891.496813,0.0,0.0,0.0,False,100,0
1452077900.207374,0.0,0.0,0.0,False,0,1
1452077901.809454,0.0,0.0,0.0,False,1,1
1452077903.411793,0.0,0.0,0.0,False,2,1
1452077905.013905,0.0,0.0,0.0,False,3,1
1452077906.615994,0.0,0.0,0.0,False,4,1
1452077908.218211,0.0,0.0,0.0,False,5,1
1452077909.820342,0.0,0.0,0.0,False,6,1
1452077911.422503,0.0,0.0,0.0,False,7,1
1452077913.024571,0.0,0.0,0.0,False,8,1
1452077914.626761,0.0,0.0,0.0,False,9,1
1452077916.228805,0.0,0.0,0.0,False,10,1
1452077917.830556,0.0,0.0,0.0,False,11,1
1452077919.432678,0.0,0.0,0.0,False,12,1
1452077921.034493,0.0,0.0,0.0,False,13,1
1452077922.636772,0.0,0.0,0.0,False,14,1
1452077924.238974,0.0,0.0,0.0,False,15,1
1452077925.841137,0.0,0.0,0.0,False,16,1
1452077927.442483,0.0,0.0,0.0,False,17,1
1452077929.044864,0.0,0.0,0.0,False,18,1
1452077930.646998,0.0,0.0,0.0,False,19,1
1452077932.249265,0.0,0.0,0.0,False,20,1
1452077933.851537,0.0,0.0,0.0,False,21,1
1452077935.453707,0.0,0.0,0.0,False,22,1
1452077937.055839,0.0,0.0,0.0,False,23,1
1452077938.658051,0.0,0.0,0.0,False,24,1
1452077940.260171,0.0,0.0,0.0,False,25,1
1452077941.862294,0.0,0.0,0.0,False,26,1
1452077943.464491,0.0,0.0,0.0,False,27,1
1452077945.066667,0.0,0.0,0.0,False,28,1
1452077946.668962,0.0,0.0,0.0,False,29,1
1452077948.270466,0.0,0.0,0.0,False,30,1
1452077949.87267,0.0,0.0,0.0,False,31,1
1452077951.474724,0.0,0.0,0.0,False,32,1
1452077953.076892,0.0,0.0,0.0,False,33,1
1452077954.678475,0.0,0.0,0.0,False,34,1
1452077956.28061,0.0,0.0,0.0,False,35,1
1452077957.882929,0.0,0.0,0.0,False,36,1
1452077959.485137,0.0,0.0,0.0,False,37,1
1452077961.086466,0.0,0.0,0.0,False,38,1
1452077962.688517,0.0,0.0,0.0,False,39,1
1452077964.290645,0.0,0.0,0.0,False,40,1
1452077965.892832,0.0,0.0,0.0,False,41,1
1452077967.494559,21.765656194592317,0.0,0.0,True,42,1
